Title,Rating,Voting,Duration,Duration (min),Genre
Werewolves,4.4,,1h 33m,93,Action
Homestead,5.3,,1h 52m,112,Action
Survive,4.5,,1h 30m,90,Action
Monkey Man,6.8,,2h 1m,121,Action
Aftermath,5.1,,1h 37m,97,Action
The Killer's Game,5.8,,1h 44m,104,Action
The Instigators,6.2,,1h 41m,101,Action
Beverly Hills Cop: Axel F,6.4,,1h 58m,118,Action
Lift,5.5,,1h 47m,107,Action
Gunner,3.2,,1h 46m,106,Action
Classified,3.7,,1h 45m,105,Action
Blitz,6.2,,2h,120,Action
Uglies,4.7,,1h 40m,100,Action
Maharaja,8.4,,2h 21m,141,Action
The Killer,5.7,,2h 6m,126,Action
Old Guy,5.2,,1h 34m,94,Action
Drive-Away Dolls,5.4,,1h 24m,84,Action
Attack on Titan the Movie: The Last Attack,9.2,,2h 25m,145,Action
Thelma,7.0,,1h 38m,98,Action
Atlas,5.6,,1h 58m,118,Action
Azrael,5.4,,1h 26m,86,Action
Descendants: The Rise of Red,4.7,,1h 31m,91,Action
Arcadian,5.5,,1h 32m,92,Action
Toofan,7.4,,2h 25m,145,Action
Watchmen: Chapter I,7.1,,1h 23m,83,Action
Marco,6.8,,2h 25m,145,Action
Apocalypse Z: The Beginning of the End,6.1,,1h 57m,117,Action
Dirty Angels,4.3,,1h 44m,104,Action
Canary Black,5.3,,1h 41m,101,Action
Cash Out,4.8,,1h 32m,92,Action
Trigger Warning,4.6,,1h 46m,106,Action
Under Paris,5.2,,1h 44m,104,Action
Kalki 2898 AD,7.0,,3h,180,Action
Armor,3.5,,1h 29m,89,Action
Long Gone Heroes,5.2,,1h 41m,101,Action
Trouble,6.2,,1h 38m,98,Action
Rebel Moon - Part Two: The Scargiver,5.3,,2h 2m,122,Action
Jackpot!,5.8,,1h 46m,106,Action
11 Rebels,6.3,,2h 35m,155,Action
Twilight of the Warriors: Walled In,7.0,,2h 6m,126,Action
Brothers,5.4,,1h 29m,89,Action
Amaran,8.1,,2h 47m,167,Action
The Shadow Strays,6.5,,2h 24m,144,Action
Duchess,4.6,,1h 54m,114,Action
The Silent Hour,6.1,,1h 39m,99,Action
The Fix,4.6,,1h 38m,98,Action
Red Right Hand,5.5,,1h 51m,111,Action
Weekend in Taipei,5.7,,1h 40m,100,Action
Hitpig,5.1,,1h 26m,86,Action
Alien: Rubicon,2.4,,1h 26m,86,Action
Watchmen: Chapter II,7.0,,1h 30m,90,Action
Hounds of War,4.5,,1h 35m,95,Action
Harbin,6.2,,1h 48m,108,Action
Fighter,6.2,,2h 46m,166,Action
Uprising,6.6,,2h 6m,126,Action
No Way Up,4.6,,1h 30m,90,Action
Boneyard,4.1,,1h 36m,96,Action
Role Play,5.5,,1h 40m,100,Action
Hagen,6.0,,2h 19m,139,Action
Cloud,6.3,,2h 4m,124,Action
Damaged,4.7,,1h 37m,97,Action
Bangkok Dog,4.8,,1h 25m,85,Action
Megamind vs. The Doom Syndicate,2.5,,1h 23m,83,Action
Chief of Station,4.7,,1h 37m,97,Action
Take Cover,5.1,,1h 30m,90,Action
Relay,7.5,,1h 52m,112,Action
The Prosecutor,6.7,,1h 57m,117,Action
Karma,8.0,,2h 47m,167,Action
Baby John,5.2,,2h 39m,159,Action
The Courier,6.0,,1h 41m,101,Action
Viduthalai Part 2,7.8,,2h 50m,170,Action
The Thundermans Return,5.0,,1h 10m,70,Action
Hanu Man,7.7,,2h 38m,158,Action
Revolver,5.4,,1h 54m,114,Action
Singham Again,4.7,,2h 24m,144,Action
Justice League: Crisis on Infinite Earths - Part One,6.2,,1h 33m,93,Action
Baby Invasion,4.6,,1h 20m,80,Action
My Spy: The Eternal City,5.7,,1h 52m,112,Action
Pusaka,5.2,,1h 30m,90,Action
The Roundup: Punishment,6.6,,1h 49m,109,Action
Sikandar Ka Muqaddar,6.0,,2h 22m,142,Action
River of Blood,5.2,,1h 26m,86,Action
Levels,5.0,,1h 33m,93,Action
Darkness of Man,4.8,,1h 49m,109,Action
The Quiet Ones,6.3,,1h 50m,110,Action
One More Shot,5.4,,1h 43m,103,Action
Zero,6.1,,1h 28m,88,Action
"I, the Executioner",6.4,,1h 58m,118,Action
Jigra,6.0,,2h 33m,153,Action
Prey,3.7,,1h 26m,86,Action
Devara Part 1,6.0,,2h 56m,176,Action
Justice League: Crisis on Infinite Earths - Part Three,6.1,,1h 34m,94,Action
Badland Hunters,5.9,,1h 47m,107,Action
The Last of Us: Immunity,5.0,,1h 4m,64,Action
My Hero Academia: You're Next,7.0,,1h 50m,110,Action
Aavesham,7.8,,2h 35m,155,Action
London Calling,7.5,,1h 49m,109,Action
Sunray: Fallen Soldier,4.3,,1h 55m,115,Action
Code 8: Part II,5.7,,1h 40m,100,Action
Raqa,5.6,,1h 47m,107,Action
Striking Rescue,5.7,,1h 46m,106,Action
Ultraman: Rising,6.9,,1h 57m,117,Action
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1,,1h 44m,104,Action
The Price of Money: A Largo Winch Adventure,5.0,,1h 40m,100,Action
Dominique,5.3,,1h 40m,100,Action
The Clean Up Crew,4.1,,1h 35m,95,Action
Utopia,3.6,,1h 31m,91,Action
Officer Black Belt,6.8,,1h 48m,108,Action
Mafia Wars,3.4,,1h 34m,94,Action
Air Force One Down,4.4,,1h 24m,84,Action
Death Whisperer 2,6.4,,1h 50m,110,Action
Dan Da Dan: First Encounter,8.2,,1h 23m,83,Action
Joe Baby,7.4,,1h 26m,86,Action
The Wages of Fear,4.6,,1h 44m,104,Action
Night Call,6.8,,1h 37m,97,Action
Pani,6.9,,2h 23m,143,Action
KA,7.1,,2h 31m,151,Action
Simarik,6.5,,1h 51m,111,Action
Anaconda,4.9,,1h 24m,84,Action
