Title,Rating,Voting,Duration,Duration (min),Genre
Komandir,6.4,,2h 11m,131,Action
Spider-Man: Final Swing,8.4,,2h 33m,153,Action
Purushothamudu,7.4,,2h,120,Action
Major Grom: The Game,6.1,,2h 48m,168,Action
The Captives,3.5,,1h 13m,73,Action
Kuang Bao Ju Xi,5.9,,1h 15m,75,Action
Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,7.0,,1h 11m,71,Action
Kamen Rider Gotchard: The Future Daybreak,7.9,,1h 3m,63,Action
Cholo Zombies,4.6,,1h 36m,96,Action
Average Student Nani,7.5,,2h 18m,138,Action
Rob N Roll,6.1,,1h 38m,98,Action
Usha Parinayam,9.0,,2h 24m,144,Action
Itutumba ka ng tatay ko,5.3,,1h 49m,109,Action
Rathnam,5.4,,2h 35m,155,Action
Emanet,7.9,,1h 37m,97,Action
Bheema,5.8,,2h 28m,148,Action
Petta Rap,3.8,,2h 3m,123,Action
Pariah Volume 1: Every Street Dog Has a Name,6.9,,2h 18m,138,Action
Dark World,4.9,,2h 15m,135,Action
The Burden of Nine Lives,4.7,,1h 56m,116,Action
Pushpaka Vimanam,5.6,,2h 17m,137,Action
The Worlds Divide,8.1,,2h,120,Action
Mega Twister,2.5,,1h 15m,75,Action
Dhaaak,8.6,,2h 8m,128,Action
Zénithal,5.5,,1h 20m,80,Action
"Bullets, Brothers and Blood",7.8,,1h 25m,85,Action
September Babies,5.8,,1h 34m,94,Action
Death Bitch,7.2,,1h 28m,88,Action
The Yoshi Movie,7.7,,1h 45m,105,Action
Angel of the Warrior,8.5,,1h 30m,90,Action
Kamen Rider Geats: Jyamato Awaking,7.9,,54m,54,Action
Aho Vikramaarka,7.4,,2h 16m,136,Action
Villain - Life of a Gangster,8.9,,2h 21m,141,Action
Warning 2,7.1,,2h 5m,125,Action
Holy Punch,5.2,,1h 38m,98,Action
Iddaru,8.8,,2h 28m,148,Action
Ultraman Blazar the Movie: Tokyo Kaiju Showdown,7.5,,1h 15m,75,Action
The Escapee 3: The Final Escape,2.6,,1h 23m,83,Action
Pungut,6.9,,1h 40m,100,Action
Hain,2.9,,1h 35m,95,Action
Rode College,6.6,,2h 48m,168,Action
Roxana,3.8,,1h 38m,98,Action
Neo-Dome,6.7,,15m,15,Action
Artist Unknown,8.7,,1h 22m,82,Action
Naa Saami Ranga,4.5,,2h 30m,150,Action
GATAO: Like Father Like Son,6.8,,1h 40m,100,Action
Special Needs Revolt!,9.0,,1h 53m,113,Action
Inanimate Insanity II: The Movie,8.4,,1h 46m,106,Action
Rocky and Bullwinkle,9.2,,1h 40m,100,Action
Crypto Storm,4.8,,1h 41m,101,Action
Raktaksha,8.0,,1h 58m,118,Action
Raanti,6.6,,1h 55m,115,Action
Election,5.8,,2h,120,Action
Chaari 111,4.8,,2h 10m,130,Action
Hakkenden,5.8,,2h 29m,149,Action
Dr. Jason II - Lights & Shadows,4.9,,1h 2m,62,Action
Played,6.2,,1h 36m,96,Action
Naag Bhoomi,5.7,,2h 10m,130,Action
Thankamani,4.6,,2h 36m,156,Action
Breaking Tradition,6.9,,1h 27m,87,Action
Thiragabadara Saami,6.4,,1h 55m,115,Action
Abudeka Is Back,5.3,,2h,120,Action
Abnormal: Buas,5.6,,1h 30m,90,Action
Krishnamma,6.2,,2h 18m,138,Action
"Silex and the City, le film",4.9,,1h 17m,77,Action
Slide or Die the Movie,9.2,,2h 7m,127,Action
Appu,8.6,,1h 32m,92,Action
Hide and Seek,8.0,,2h 10m,130,Action
Killer Ex,3.9,,1h 34m,94,Action
Nenu Keerthana,8.9,,2h 35m,155,Action
Haraa,5.3,,2h 16m,136,Action
Mother Mafia,3.2,,1h 20m,80,Action
Shri Swapankumarer Badami Hyenar Kobole,5.6,,2h 26m,146,Action
Anthima Theerpu,7.0,,2h 13m,133,Action
Charlotte Link - Ohne Schuld,5.5,,1h 29m,89,Action
Sarangadhariya,8.4,,2h 30m,150,Action
Blocking the Horse,5.8,,1h 34m,94,Action
Nothing Unusual,8.9,,1h 32m,92,Action
The Mystery of Humanoid Puppet,6.7,,1h 28m,88,Action
Mobile Suit Gundam: Silver Phantom,6.1,,1h 30m,90,Action
Nasha Jurm Aur Gangsters,6.6,,2h 17m,137,Action
The SML YTP Movie 2: Dimension Trouble,8.3,,1h 34m,94,Action
Happy Dragons,4.9,,1h 37m,97,Action
Surge of Power: Where There's Smoke,6.5,,1h 8m,68,Action
Joshua: Imai Pol Kaka,4.5,,2h 10m,130,Action
Ajay Gadu,6.9,,1h 48m,108,Action
Di Renjie: Tongtian xuan an,7.2,,1h 25m,85,Action
Rock 'n' Roll Ringo,6.3,,1h 41m,101,Action
Reeza GTR,7.4,,1h 31m,91,Action
Snowstorm,4.5,,1h 31m,91,Action
Cândido,6.3,,1h 39m,99,Action
Chhota Bheem and the Curse of Damyaan,4.8,,2h 25m,145,Action
Fights Break Sphere 3,4.7,,1h 21m,81,Action
Supplier Shankara,9.3,,2h 43m,163,Action
Shockwaves 2,2.8,,1h 19m,79,Action
Wilhelm Gustloff,8.7,,1h 50m,110,Action
Chinatown Chacha,5.1,,1h 43m,103,Action
Surrender,7.8,,2h 29m,149,Action
Bullet,9.0,,2h 11m,131,Action
E-mail,5.4,,1h 59m,119,Action
Kill the Children first,7.8,,1h 46m,106,Action
Inkabi,4.7,,1h 41m,101,Action
Joy Hanu Man,8.9,,2h 23m,143,Action
The Bodyguard,6.6,,1h 27m,87,Action
Bloodlust,8.2,,1h 37m,97,Action
Lorry Chapter-1,5.7,,3h 3m,183,Action
Joachim and the Apocalypse,7.2,,1h 30m,90,Action
Operation Star,7.7,,1h 42m,102,Action
El Duro,5.0,,1h 30m,90,Action
Mercy Killing,8.7,,2h 11m,131,Action
Dangerous Boys 2,5.1,,1h 55m,115,Action
Be Forever Yamato: Rebel 3199: Part 1: Dark Invasion,7.0,,50m,50,Action
Operation Wakaliga: Fate and Blood,6.7,,1h 6m,66,Action
Zoloto Umalty,4.9,,1h 49m,109,Action
Yao Shen Ling,6.7,,1h 33m,93,Action
Ugravatara,7.9,,2h 2m,122,Action
Hope & Glory,6.6,,44m,44,Action
Kiyma: Orman Kanunlari,4.5,,1h 21m,81,Action
Jigar,7.1,,2h 2m,122,Action
Jurassic Exorcist,3.8,,1h 16m,76,Action
The Dragon's Tomb,6.8,,1h 17m,77,Action
Codename: Devil,5.4,,1h 44m,104,Action
Zhi Bao,5.7,,1h 40m,100,Action
Halloween: Mal Eterno,8.2,,50m,50,Action
Kreem,6.8,,1h 55m,115,Action
Opportunity,8.9,,1h 36m,96,Action
Kohinoor,8.1,,1h 59m,119,Action
Framed,4.9,,Not Rated,0,Action
Vey Dharuvey,6.4,,2h 7m,127,Action
Mirg,6.1,,1h 23m,83,Action
The Very Last Christmas,8.5,,1h 15m,75,Action
Sith Wars: Episódio III - Fantasmas Dos Sith,8.6,,1h 39m,99,Action
Inherited,9.5,,1h 16m,76,Action
The Drunken Prodigy,5.7,,1h 47m,107,Action
The Delegator,4.2,,1h 36m,96,Action
Skhvatka,5.2,,1h 47m,107,Action
Inexternal,3.2,,1h 23m,83,Action
The Journey of Flower,3.9,,1h 37m,97,Action
The Correct Way of Youth,9.3,,1h 30m,90,Action
Achilles Curse and the Curse of Treasure,7.4,,2h 5m,125,Action
Hocus Focus,7.9,,1h 25m,85,Action
Dhil Raja,9.4,,1h 46m,106,Action
Raja 420,6.1,,1h 21m,81,Action
The Bottom Line,6.5,,1h 47m,107,Action
Ohsama Sentai King-Ohger vs. Donbrothers,6.8,,26m,26,Action
Combat Code: Hunt,7.4,,1h 16m,76,Action
Big Brother,8.5,,1h 55m,115,Action
Kaveri,6.8,,1h 41m,101,Action
Common Creed: Trafficking,6.7,,1h 46m,106,Action
Give Me Babies,6.7,,23m,23,Action
Agent 86,6.7,,1h 27m,87,Action
Gull Lake Vice II: The Delusion Continues,8.2,,58m,58,Action
Usire Usire,7.5,,2h 31m,151,Action
Janna Endoro,8.1,,2h,120,Action
Dead Hand,4.1,,1h 32m,92,Action
Firework,6.2,,1h,60,Action
Day of the Diesels,7.7,,1h 40m,100,Action
Kaale Angrej,5.5,,2h 11m,131,Action
Break War,2.4,,1h 26m,86,Action
Klaantha,6.2,,1h 47m,107,Action
Mavr,7.5,,1h 23m,83,Action
Premalo,7.3,,2h 8m,128,Action
Dheera,7.9,,2h 3m,123,Action
Mr. Natwarlal,6.4,,2h 10m,130,Action
Me and the Dragon's Daughter,5.2,,1h 15m,75,Action
Heavens: The Boy and His Robot,6.3,,1h 38m,98,Action
Max Beyond,6.6,,1h 33m,93,Action
Gally Gang Stars,9.0,,2h 37m,157,Action
Rudra: The Beginning,9.4,,2h 15m,135,Action
Seetha Kalyana Vaibhogame,8.6,,2h 26m,146,Action
Rooban,6.5,,2h 5m,125,Action
Sathyam,7.3,,2h 14m,134,Action
Vorovka,4.8,,1h 30m,90,Action
Death Game,5.2,,1h 27m,87,Action
Kade,6.7,,1h 32m,92,Action
Atu Nuvve Itu Nuvve,6.5,,2h 3m,123,Action
Lolipop Gang,3.6,,1h 30m,90,Action
Useful Idiots,8.3,,1h 32m,92,Action
The Deal,8.5,,2h 10m,130,Action
Re Xue Ran Shao,4.2,,1h 53m,113,Action
Opasni shmatki,5.2,,1h 32m,92,Action
Vi possiamo salvare,2.7,,1h 29m,89,Action
Seven Heroes Beat the Monster,6.8,,1h 29m,89,Action
Jiwa 8 Belas,5.0,,1h 26m,86,Action
Gintama the Movie 2D: Courtesan of the Nation Arc,7.8,,1h 49m,109,Action
Riddle of the Shadow Lotus,6.3,,1h 32m,92,Action
AK47,7.2,,2h 26m,146,Action
Battling to Survive,7.0,,1h 14m,74,Action
Guxim,7.7,,1h 15m,75,Action
Leha,2.3,,1h 38m,98,Action
Guns Blazin,7.1,,1h 28m,88,Action
The ShortCut,7.7,,2h 18m,138,Action
SMB-plush presents trick or death,8.8,,2h,120,Action
La Tamalera,8.2,,1h 55m,115,Action
Roudhra Rupaya,7.6,,2h 12m,132,Action
Dirty Fellow,6.8,,1h 59m,119,Action
Dheera Bhagat Roy,8.6,,2h 30m,150,Action
Tranquility: Ghost Stories,7.6,,1h 28m,88,Action
Blood Vendetta,7.7,,1h 30m,90,Action
The Winter Prophecy,7.9,,52m,52,Action
Three Old Captors,7.0,,1h 34m,94,Action
Oversteer,5.2,,1h 26m,86,Action
A Reel Heist,5.2,,1h 56m,116,Action
StarGazer: The Need of the Many,5.0,,47m,47,Action
No Man Standing,8.6,,1h 33m,93,Action
Kallu Compound 1995,8.0,,2h 20m,140,Action
Yentha Panichesav Chanti,9.5,,2h 15m,135,Action
Urban Vengeance,4.8,,1h 19m,79,Action
Travesty,6.4,,1h 18m,78,Action
Kyle and the Last Emerald 2,8.4,,15m,15,Action
Krapiva: Tsvetok smerti,6.1,,1h 21m,81,Action
Best Cop Ever,4.3,,2h 2m,122,Action
Daanvi,1.7,,1h 57m,117,Action
The Mirage,8.9,,1h 46m,106,Action
War with the Evil,6.3,,1h 25m,85,Action
Passazhiry,4.5,,1h 20m,80,Action
The Domino File,4.7,,1h 42m,102,Action
Cholay,8.6,,1h,60,Action
Isle: Alpha One,8.4,,1h 37m,97,Action
Out of the Shadow,6.5,,1h 29m,89,Action
"La Protegida, La Película",9.3,,1h 7m,67,Action
Pithala Maathi,7.6,,2h 20m,140,Action
Bad Ass Sista,6.9,,1h 20m,80,Action
PW V: Tears of the Fallen,8.2,,1h,60,Action
Full Clip for a Snitch,3.9,,1h 15m,75,Action
S-99,8.7,,1h 59m,119,Action
El Junior Del Patron,7.4,,1h 32m,92,Action
Xiao zi,3.5,,1h 41m,101,Action
Drunken Swordsman,6.7,,1h 31m,91,Action
Sehnsucht nach Firdaws,8.5,,1h 43m,103,Action
Los Hijos De Camelia y Emilio,6.4,,1h 22m,82,Action
Sesh Bazi,6.2,,2h 12m,132,Action
The End of Hen,9.8,,1h 7m,67,Action
Po du xing dong,6.8,,1h 19m,79,Action
Speed Fight,6.8,,1h 27m,87,Action
The Overseas Killer,6.4,,1h 44m,104,Action
The Kills,8.8,,1h 10m,70,Action
Jimmy's Friends,7.0,,1h 34m,94,Action
El Cartel De Teresa,8.0,,1h 36m,96,Action
The Vent,8.9,,3m,3,Action
Kyle and the Last Emerald,5.5,,20m,20,Action
Captain Superb and the Angel of Destiny,3.3,,2h,120,Action
Faster: Only one lap,6.9,,1h 30m,90,Action
Mahserin Üç Delisi,5.9,,1h 18m,78,Action
Lealtad o Morir,8.2,,1h 27m,87,Action
Siete Vidas - El Levanton,9.6,,45m,45,Action
Las Hermanas Del Cartel,8.2,,1h 31m,91,Action
Piri Reis: The Incredible Chart,6.9,,2h 18m,138,Action
Duelo De Capos,6.3,,1h 23m,83,Action
Luna de Hiel,5.8,,1h 23m,83,Action
Bring Back the Colour,6.4,,47m,47,Action
Spider-Man: Dimension Rift,8.4,,2h 7m,127,Action
Zen Fist,7.2,,45m,45,Action
Killer Lee,1.9,,1h 27m,87,Action
Mandya Haida,6.2,,2h 19m,139,Action
Action of Intelligenagency,6.7,,1h 25m,85,Action
Anger,8.8,,1h 23m,83,Action
Gadha17,8.0,,1h 30m,90,Action
Runnin' from Wolves,7.2,,2h 13m,133,Action
Bush Knife,7.0,,1h 30m,90,Action
Whispers of the Imperial City,6.8,,1h 30m,90,Action
Jefa De Jefas,8.2,,1h 22m,82,Action
Twisters,6.5,,2h 2m,122,Adventure
Gladiator II,6.5,,2h 28m,148,Adventure
Sonic the Hedgehog 3,6.9,,1h 50m,110,Adventure
Kraven the Hunter,5.5,,2h 7m,127,Adventure
Deadpool & Wolverine,7.6,,2h 8m,128,Adventure
Civil War,7.0,,1h 49m,109,Adventure
Dune: Part Two,8.5,,2h 46m,166,Adventure
The Ministry of Ungentlemanly Warfare,6.8,,2h 2m,122,Adventure
Venom: The Last Dance,6.0,,1h 50m,110,Adventure
The Beekeeper,6.3,,1h 45m,105,Adventure
The Count of Monte-Cristo,7.6,,2h 58m,178,Adventure
Freaky Tales,7.2,,1h 47m,107,Adventure
Furiosa: A Mad Max Saga,7.5,,2h 28m,148,Adventure
Transformers One,7.6,,1h 44m,104,Adventure
Carry-On,6.5,,1h 59m,119,Adventure
Borderlands,4.7,,1h 41m,101,Adventure
Fight or Flight,6.4,,1h 37m,97,Adventure
The Fall Guy,6.8,,2h 6m,126,Adventure
The Crow,4.7,,1h 51m,111,Adventure
Road House,6.2,,2h 1m,121,Adventure
Rebel Ridge,6.8,,2h 11m,131,Adventure
Pushpa: The Rule - Part 2,6.1,,3h 21m,201,Adventure
Madame Web,4.0,,1h 56m,116,Adventure
The Lord of the Rings: The War of the Rohirrim,6.3,,2h 14m,134,Adventure
Elevation,5.6,,1h 31m,91,Adventure
Absolution,5.2,,1h 52m,112,Adventure
Bad Boys: Ride or Die,6.5,,1h 55m,115,Adventure
Red One,6.3,,2h 3m,123,Adventure
Solo Leveling: ReAwakening,8.8,,2h 1m,121,Adventure
Love Lies Bleeding,6.6,,1h 44m,104,Adventure
Argylle,5.6,,2h 19m,139,Adventure
Damsel,6.1,,1h 50m,110,Adventure
William Tell,5.7,,2h 13m,133,Adventure
The Union,5.4,,1h 47m,107,Adventure
Godzilla x Kong: The New Empire,6.0,,1h 55m,115,Adventure
Kingdom of the Planet of the Apes,6.9,,2h 25m,145,Adventure
Land of Bad,6.6,,1h 53m,113,Adventure
Hellboy: The Crooked Man,4.5,,1h 39m,99,Adventure
Kung Fu Panda 4,6.3,,1h 34m,94,Adventure
Werewolves,4.4,,1h 33m,93,Adventure
Homestead,5.3,,1h 52m,112,Adventure
Survive,4.5,,1h 30m,90,Adventure
Monkey Man,6.8,,2h 1m,121,Adventure
Aftermath,5.1,,1h 37m,97,Adventure
The Killer's Game,5.8,,1h 44m,104,Adventure
The Instigators,6.2,,1h 41m,101,Adventure
Beverly Hills Cop: Axel F,6.4,,1h 58m,118,Adventure
Lift,5.5,,1h 47m,107,Adventure
Gunner,3.2,,1h 46m,106,Adventure
Classified,3.7,,1h 45m,105,Adventure
Blitz,6.2,,2h,120,Adventure
Uglies,4.7,,1h 40m,100,Adventure
Maharaja,8.4,,2h 21m,141,Adventure
The Killer,5.7,,2h 6m,126,Adventure
Old Guy,5.2,,1h 34m,94,Adventure
Drive-Away Dolls,5.4,,1h 24m,84,Adventure
Attack on Titan the Movie: The Last Attack,9.2,,2h 25m,145,Adventure
Thelma,7.0,,1h 38m,98,Adventure
Atlas,5.6,,1h 58m,118,Adventure
Azrael,5.4,,1h 26m,86,Adventure
Descendants: The Rise of Red,4.7,,1h 31m,91,Adventure
Arcadian,5.5,,1h 32m,92,Adventure
Toofan,7.4,,2h 25m,145,Adventure
Watchmen: Chapter I,7.1,,1h 23m,83,Adventure
Marco,6.8,,2h 25m,145,Adventure
Apocalypse Z: The Beginning of the End,6.1,,1h 57m,117,Adventure
Dirty Angels,4.3,,1h 44m,104,Adventure
Canary Black,5.3,,1h 41m,101,Adventure
Cash Out,4.8,,1h 32m,92,Adventure
Trigger Warning,4.6,,1h 46m,106,Adventure
Under Paris,5.2,,1h 44m,104,Adventure
Kalki 2898 AD,7.0,,3h,180,Adventure
Armor,3.5,,1h 29m,89,Adventure
Long Gone Heroes,5.2,,1h 41m,101,Adventure
Trouble,6.2,,1h 38m,98,Adventure
Rebel Moon - Part Two: The Scargiver,5.3,,2h 2m,122,Adventure
Jackpot!,5.8,,1h 46m,106,Adventure
11 Rebels,6.3,,2h 35m,155,Adventure
Twilight of the Warriors: Walled In,7.0,,2h 6m,126,Adventure
Brothers,5.4,,1h 29m,89,Adventure
Amaran,8.1,,2h 47m,167,Adventure
The Shadow Strays,6.5,,2h 24m,144,Adventure
Duchess,4.6,,1h 54m,114,Adventure
The Silent Hour,6.1,,1h 39m,99,Adventure
The Fix,4.6,,1h 38m,98,Adventure
Red Right Hand,5.5,,1h 51m,111,Adventure
Weekend in Taipei,5.7,,1h 40m,100,Adventure
Hitpig,5.1,,1h 26m,86,Adventure
Alien: Rubicon,2.4,,1h 26m,86,Adventure
Watchmen: Chapter II,7.0,,1h 30m,90,Adventure
Hounds of War,4.5,,1h 35m,95,Adventure
Harbin,6.2,,1h 48m,108,Adventure
Fighter,6.2,,2h 46m,166,Adventure
Uprising,6.6,,2h 6m,126,Adventure
No Way Up,4.6,,1h 30m,90,Adventure
Boneyard,4.1,,1h 36m,96,Adventure
Role Play,5.5,,1h 40m,100,Adventure
Hagen,6.0,,2h 19m,139,Adventure
Cloud,6.3,,2h 4m,124,Adventure
Damaged,4.7,,1h 37m,97,Adventure
Bangkok Dog,4.8,,1h 25m,85,Adventure
Megamind vs. The Doom Syndicate,2.5,,1h 23m,83,Adventure
Chief of Station,4.7,,1h 37m,97,Adventure
Take Cover,5.1,,1h 30m,90,Adventure
Relay,7.5,,1h 52m,112,Adventure
The Prosecutor,6.7,,1h 57m,117,Adventure
Karma,8.0,,2h 47m,167,Adventure
Baby John,5.2,,2h 39m,159,Adventure
The Courier,6.0,,1h 41m,101,Adventure
Viduthalai Part 2,7.8,,2h 50m,170,Adventure
The Thundermans Return,5.0,,1h 10m,70,Adventure
Hanu Man,7.7,,2h 38m,158,Adventure
Revolver,5.4,,1h 54m,114,Adventure
Singham Again,4.7,,2h 24m,144,Adventure
Justice League: Crisis on Infinite Earths - Part One,6.2,,1h 33m,93,Adventure
Baby Invasion,4.6,,1h 20m,80,Adventure
My Spy: The Eternal City,5.7,,1h 52m,112,Adventure
Pusaka,5.2,,1h 30m,90,Adventure
The Roundup: Punishment,6.6,,1h 49m,109,Adventure
Sikandar Ka Muqaddar,6.0,,2h 22m,142,Adventure
River of Blood,5.2,,1h 26m,86,Adventure
Levels,5.0,,1h 33m,93,Adventure
Darkness of Man,4.8,,1h 49m,109,Adventure
The Quiet Ones,6.3,,1h 50m,110,Adventure
One More Shot,5.4,,1h 43m,103,Adventure
Zero,6.1,,1h 28m,88,Adventure
"I, the Executioner",6.4,,1h 58m,118,Adventure
Jigra,6.0,,2h 33m,153,Adventure
Prey,3.7,,1h 26m,86,Adventure
Devara Part 1,6.0,,2h 56m,176,Adventure
Justice League: Crisis on Infinite Earths - Part Three,6.1,,1h 34m,94,Adventure
Badland Hunters,5.9,,1h 47m,107,Adventure
The Last of Us: Immunity,5.0,,1h 4m,64,Adventure
My Hero Academia: You're Next,7.0,,1h 50m,110,Adventure
Aavesham,7.8,,2h 35m,155,Adventure
London Calling,7.5,,1h 49m,109,Adventure
Sunray: Fallen Soldier,4.3,,1h 55m,115,Adventure
Code 8: Part II,5.7,,1h 40m,100,Adventure
Raqa,5.6,,1h 47m,107,Adventure
Striking Rescue,5.7,,1h 46m,106,Adventure
Ultraman: Rising,6.9,,1h 57m,117,Adventure
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1,,1h 44m,104,Adventure
The Price of Money: A Largo Winch Adventure,5.0,,1h 40m,100,Adventure
Dominique,5.3,,1h 40m,100,Adventure
The Clean Up Crew,4.1,,1h 35m,95,Adventure
Utopia,3.6,,1h 31m,91,Adventure
Officer Black Belt,6.8,,1h 48m,108,Adventure
Mafia Wars,3.4,,1h 34m,94,Adventure
Air Force One Down,4.4,,1h 24m,84,Adventure
Death Whisperer 2,6.4,,1h 50m,110,Adventure
Dan Da Dan: First Encounter,8.2,,1h 23m,83,Adventure
Joe Baby,7.4,,1h 26m,86,Adventure
The Wages of Fear,4.6,,1h 44m,104,Adventure
Night Call,6.8,,1h 37m,97,Adventure
Pani,6.9,,2h 23m,143,Adventure
KA,7.1,,2h 31m,151,Adventure
Simarik,6.5,,1h 51m,111,Adventure
Anaconda,4.9,,1h 24m,84,Adventure
Cesium Fallout,6.4,,2h 16m,136,Adventure
Dark Match,5.4,,1h 34m,94,Adventure
Latency,4.2,,1h 34m,94,Adventure
Article 370,7.8,,2h 38m,158,Adventure
The Family Star,5.4,,2h 39m,159,Adventure
Life After Fighting,6.4,,2h 6m,126,Adventure
Kill Em All 2,4.1,,1h 28m,88,Adventure
One Fast Move,5.0,,1h 48m,108,Adventure
40 Acres,6.9,,1h 53m,113,Adventure
Rogue Elements: A Ryan Drake Story,4.7,,44m,44,Adventure
Murder Company,3.7,,1h 26m,86,Adventure
Elyas,6.1,,1h 45m,105,Adventure
Justice League: Crisis on Infinite Earths - Part Two,5.5,,1h 34m,94,Adventure
Bougainvillea,6.4,,2h 18m,138,Adventure
200% Wolf,5.9,,1h 38m,98,Adventure
Savi,6.1,,2h 6m,126,Adventure
Handsome Guys,6.5,,1h 41m,101,Adventure
Lights Out,4.9,,1h 30m,90,Adventure
Rifle Club,7.0,,1h 53m,113,Adventure
Angels Fallen: Warriors of Peace,4.9,,1h 43m,103,Adventure
The Greatest of All Time,5.7,,3h 3m,183,Adventure
Alienoid: The Return to the Future,6.5,,2h 2m,122,Adventure
Sixty Minutes,5.7,,1h 28m,88,Adventure
City Hunter,6.3,,1h 42m,102,Adventure
Vanvaas,6.6,,2h 40m,160,Adventure
The Twisters,2.5,,1h 26m,86,Adventure
Panda Plan,5.1,,1h 39m,99,Adventure
Escape,6.4,,1h 34m,94,Adventure
Bloody Escape: Bats out of Hell,5.5,,1h 40m,100,Adventure
The Tiger's Apprentice,5.7,,1h 24m,84,Adventure
Arena Wars,4.8,,1h 36m,96,Adventure
Sorgavaasal,6.6,,2h 18m,138,Adventure
Golden Kamuy,6.3,,2h 7m,127,Adventure
Overlord: The Sacred Kingdom,6.9,,2h 15m,135,Adventure
Saripodhaa Sanivaaram,7.0,,2h 46m,166,Adventure
Agent Recon,2.4,,1h 25m,85,Adventure
All the Lost Ones,3.7,,1h 46m,106,Adventure
Heart of the Hunter,4.7,,1h 45m,105,Adventure
Freedom,5.9,,1h 50m,110,Adventure
Khadaan,7.1,,2h 17m,137,Adventure
Agni,7.2,,2h 2m,122,Adventure
Paradox Effect,6.0,,1h 27m,87,Adventure
Operation Blood Hunt,3.4,,1h 33m,93,Adventure
Wynonna Earp: Vengeance,5.6,,1h 36m,96,Adventure
Everybody Loves Jenifa,8.3,,2h 15m,135,Adventure
The Last Kumite,4.6,,1h 45m,105,Adventure
Hijack 1971,6.8,,1h 40m,100,Adventure
Bade Miyan Chote Miyan,3.8,,2h 43m,163,Adventure
Die Hart 2: Die Harter,4.3,,1h 32m,92,Adventure
Outlaw,5.2,,1h 22m,82,Adventure
Sheriff,6.9,,2h 13m,133,Adventure
Kahar: Kapla High Council,6.9,,1h 42m,102,Adventure
Kanguva,4.5,,2h 32m,152,Adventure
How to Rob a Bank,6.6,,1h 28m,88,Adventure
Bad Boyz,3.2,,2h 30m,150,Adventure
Guntur Kaaram,5.4,,2h 39m,159,Adventure
Yodha,5.7,,2h 10m,130,Adventure
A.R.M,7.1,,2h 30m,150,Adventure
Hellhound,4.3,,1h 43m,103,Adventure
Tales Beyond the Galaxy,4.7,,1h 16m,76,Adventure
Devil's Knight,5.2,,1h 30m,90,Adventure
72 Hours,4.1,,1h 27m,87,Adventure
Nice Girls,4.2,,1h 32m,92,Adventure
A Legend,4.7,,2h 9m,129,Adventure
Black Heat,8.5,,1h 33m,93,Adventure
Bonnie,7.3,,2h,120,Adventure
Vettaiyan,7.0,,2h 43m,163,Adventure
The Hangman,3.3,,1h 32m,92,Adventure
Continental Split,3.6,,1h 28m,88,Adventure
Chandu Champion,7.8,,2h 22m,142,Adventure
Mahadev Ka Gorakhpur,7.6,,2h 11m,131,Adventure
Fight Another Day,4.9,,1h 37m,97,Adventure
Wanted Man,4.8,,1h 25m,85,Adventure
Ferry 2,5.6,,1h 34m,94,Adventure
Ryan's World the Movie: Titan Universe Adventure,1.8,,1h 20m,80,Adventure
12 to Midnight,3.6,,1h 36m,96,Adventure
The Last Front,5.5,,1h 38m,98,Adventure
Bagheera,6.7,,2h 38m,158,Adventure
The Lockdown,4.3,,1h 57m,117,Adventure
WWII: Operation Phoenix,6.2,,1h 46m,106,Adventure
Alien Country,4.4,,1h 36m,96,Adventure
Snow White and the Seven Samurai,3.2,,1h 28m,88,Adventure
War of the Worlds: Extinction,3.0,,1h 24m,84,Adventure
Raayan,6.5,,2h 25m,145,Adventure
The Firefighters,5.7,,1h 46m,106,Adventure
Thangalaan,6.6,,2h 36m,156,Adventure
Drive Back,4.6,,1h 34m,94,Adventure
Vedaa,6.0,,2h 25m,145,Adventure
Cells at Work!,6.7,,1h 49m,109,Adventure
Rats!,6.6,,1h 25m,85,Adventure
Jacob Tyler,4.3,,2h 13m,133,Adventure
Dirty Money,5.6,,1h 40m,100,Adventure
"Love, Courage and the Battle of Bushy Run",5.0,,1h 53m,113,Adventure
Bionic,4.3,,1h 50m,110,Adventure
Max,7.1,,2h 12m,132,Adventure
The Ballad of Davy Crockett,4.6,,1h 36m,96,Adventure
Mura,7.3,,2h 9m,129,Adventure
Auron Mein Kahan Dum Tha,6.5,,2h 30m,150,Adventure
Shark Warning,3.4,,1h 34m,94,Adventure
Terminator: Skynet Rising,6.7,,1h 28m,88,Adventure
Citizen of a Kind,6.7,,1h 54m,114,Adventure
Escape from the 21st Century,6.5,,1h 38m,98,Adventure
Art of Eight Limbs,4.0,,1h 41m,101,Adventure
Kingdom 4: Return of the Great General,7.1,,2h 25m,145,Adventure
Invasion,4.8,,1h 31m,91,Adventure
Get Fast,3.7,,1h 28m,88,Adventure
Eagle,5.9,,2h 39m,159,Adventure
Mission: Cross,6.1,,1h 45m,105,Adventure
Don't Mess with Grandma,6.0,,1h 21m,81,Adventure
GTMax,5.0,,1h 40m,100,Adventure
Bhaiyya Ji,4.8,,2h 30m,150,Adventure
School of Magical Animals 3,5.8,,1h 45m,105,Adventure
Naam,6.3,,2h 16m,136,Adventure
Virunnu,6.9,,2h 5m,125,Adventure
The Friendly,8.1,,1h 41m,101,Adventure
